id,meaning_id,lemma_id,lemma,lang,pos,meaning_ru,meaning_en,concept_id,category_id
277,77805,66443,Tal’v-Pedru,lud,PROPN,Пётр зимний (праздник),,,
278,78146,66749,Tat’t’an,lud,PROPN,Татьяна,,,
279,89847,76938,Terun-agd’e,lud,PROPN,"Терунагде ( часть Пряжи, Павлова Пряжа)",,,
280,89845,76936,Terun-külä,lud,PROPN,Павлова Пряжа,,,
281,89844,76935,Terunkülä,lud,PROPN,Павлова Пряжа (часть Пряжи),,,
282,90164,77242,Teruoi,lud,PROPN,Теруой,,,
283,87457,74741,Tiedpäiv,lud,PROPN,День российской науки,,,
284,77157,65845,Tihvinskij,lud,PROPN,Тихвинская (праздник Тихвинской иконы),,,
285,77832,66468,Tiifinskuo,lud,PROPN,Тихвинская (Праздник Тихвинской иконы Божьей Матери),,,
286,90063,77141,Timuoi,lud,PROPN,"Тимой, Тимофей",,,
287,77823,66459,Tiudii,lud,PROPN,Тивдия,,,
288,91341,78424,Tol’l’i,lud,PROPN,порог Толли,,,
289,90287,77363,Trošši,lud,PROPN,"Трошши, Трофим",,,
290,89842,76933,Trupke,lud,PROPN,Трубка (прозвище жителя),,,
291,89850,76941,Trupkin,lud,PROPN,Трубкин (фамилия жителя Пряжи),,,
292,77152,65840,Tuaškol,lud,PROPN,Ташкеницы,,,
293,77914,66544,Tuašl,lud,PROPN,Ташкеницы,,,
294,77840,66476,Tuošla,lud,PROPN,Ташкеницы,,,
295,15865,14302,Ukraina,lud,PROPN,Украина,,,
296,15863,14300,Unkari,lud,PROPN,Венгрия ,,,
297,77913,66543,Ussun,lud,PROPN,Уссуна,,,
298,90434,77519,Ustuoi,lud,PROPN,"Устюой, Устинья",,,
299,78181,66781,Vagatd’ärvi,lud,PROPN,Вагатозеро,,,
300,15855,14292,Valgedven’a,lud,PROPN,Белоруссия,,,
301,78192,66792,Val’oi,lud,PROPN,"Валентина, Валя",,,
302,90191,77269,Van’a,lud,PROPN,Ваня,,,
303,90528,77617,Van’aine,lud,PROPN,Ванечка,,,
304,90561,77649,Varvuoi,lud,PROPN,"Варвуой, Варвара",,,
305,77860,66496,Varvuoinpäiv,lud,PROPN,День памяти Великомученицы Варвары,,,
306,90061,77139,Vas’a,lud,PROPN,"Вася, Василий",,,
307,78381,66963,Vas’aine,lud,PROPN,"Васенька, Василиса",,,
308,74328,63404,Vašakke,lud,PROPN,"Вашакке (деревня), д. Вашаково",,,
309,74597,63653,Venä,lud,PROPN,Россия,,,
310,15854,14291,Ven’a,lud,PROPN,Россия ,,,
311,74709,63762,VepKar,lud,PROPN,ВепКар,,,
312,74672,63727,VepKar - korpus,lud,NOUN,ВепКар,,,
313,78427,67007,Veškelys,lud,PROPN,Вешкелица,,,
314,89730,76823,Viidan,lud,PROPN,д. Виданы,,,
315,15864,14301,Viro,lud,PROPN,Эстония ,,,
316,87456,74740,Viändöi,lud,PROPN,летние святки (07.07.-12.07.),,,
317,77858,66494,Vornovankylä,lud,PROPN,Вороново,,,
318,90527,77616,Vovaine,lud,PROPN,Вовочка,,,
319,78421,67001,Vovoi,lud,PROPN,"Владимир, Вова",,,
320,77821,66457,Voznesend’,lud,PROPN,Вознесенье,,,
321,91713,78785,Vuažen,lud,PROPN,река Важенка,,,
322,77307,65983,Ylič,lud,PROPN,Нюхово,,,
323,77857,66493,Yliči,lud,PROPN,Нюхово,,,
324,77323,65999,Yläkylä,lud,PROPN,Верхняя деревня,,,
325,90972,78058,Zubari,lud,PROPN,Зубари (прозвище),,,
326,23848,21339,a,lud,INTJ,а,,,
327,77390,66063,a-voi-voi,lud,INTJ,ой-ой-ой,,,
328,54192,47728,abai,lud,NOUN,тоня,,976,B353
329,51323,45091,abei,lud,NOUN,обида,,722,B22
330,51324,45092,abid,lud,NOUN,обида,,722,B22
331,76479,65278,abidašči,lud,ADV,жалобно,,,
332,73129,62353,abiduita,lud,VERB,обижать,,,
333,74583,63641,abu,lud,NOUN,помощь,,,
334,78186,66786,abuniek,lud,NOUN,помощник,,,
335,48474,42440,abutada,lud,VERB,помогать,,506,B15
336,48473,42439,abuttada,lud,VERB,помогать,,506,B15
337,57426,50523,adiv,lud,NOUN,гость,,1266,B43
338,52117,45814,adr,lud,NOUN,соха,,778,B321
339,52118,45815,adre,lud,NOUN,соха,,778,B321
340,15870,14307,adress,lud,NOUN,адрес,,,
341,89970,77056,adrest,lud,NOUN,адрес,,,
342,57425,50522,ad’v,lud,NOUN,гость,,1266,B43
343,57424,50521,ad’vo,lud,NOUN,гость,,1266,B43
344,90129,77207,aficer,lud,NOUN,офицер,,,
345,35841,30820,afstriiskuoi,lud,ADJ,австрийская ,,,
346,53805,47383,agan,lud,NOUN,высевки,,941,B352
347,72699,61966,aganod,lud,NOUN,отруби,,,
348,90249,77325,agdimaine,lud,ADJ,крайний,,,
349,74296,63372,agd’,lud,NOUN,"край; конец (поля, деревни и т. д.); отдалённый уголок; вершина",,,
350,74297,63373,agd’e,lud,NOUN,"край; конец (поля, деревни и т. д.); отдалённый уголок; вершина",,,
351,74298,63374,agj,lud,NOUN,"край; конец (поля, деревни и т. д.); отдалённый уголок; вершина",,,
352,74299,63375,agja,lud,NOUN,"край; конец (поля, деревни и т. д.); отдалённый уголок; вершина",,,
353,74300,63376,agje,lud,NOUN,"край; конец (поля, деревни и т. д.); отдалённый уголок; вершина",,,
354,90947,78033,agronome,lud,NOUN,агроном,,,
355,91227,78316,ah,lud,INTJ,ах,,,
356,89969,77055,aha,lud,INTJ,ага,,,
357,42331,36623,ahav,lud,NOUN,ветер весенний,spring wind,27,A12
358,42330,36622,ahavo,lud,NOUN,ветер весенний,spring wind,27,A12
359,54240,47776,ahavoitta,lud,VERB,вялить,,980,B353
360,54242,47778,ahavuoida,lud,VERB,вялить,,980,B353
361,54243,47779,ahavuota,lud,VERB,вялить,,980,B353
362,50100,43935,ahkut,lud,NOUN,отжимки,,625,B181
363,44345,38561,ahmuoi,lud,NOUN,росомаха,wolverine,194,A412
364,89974,77060,ahnida,lud,VERB,ахнуть,,,
365,52007,45740,aho,lud,NOUN,подсека заросшая,,773,B321
366,90969,78055,ahpuois’elgäläine,lud,NOUN,житель деревни Афанасьева Сельга,,,
367,52406,46094,ahta,lud,VERB,насаживать снопы (в ригу),,801,B323
368,52404,46092,ahtada,lud,VERB,насаживать снопы (в ригу),,801,B323
369,76698,65458,ahtahašči,lud,ADV,тесно,,,
370,52405,46093,ahtai,lud,VERB,насаживать снопы (в ригу),,801,B323
371,50739,44534,ahtas,lud,ADJ,тесный,,682,B182
372,50742,44537,ahtaz,lud,ADJ,тесный,,682,B182
373,48092,42098,ahtištada,lud,VERB,"сжимать, сдавливать, стискивать",,480,B15
374,44956,39148,ahven’,lud,NOUN,окунь,"European perch, redfin perch, perch",249,A43
375,52139,45835,aid,lud,NOUN,огороженное место; загородка; изгородь,,780,B321
376,52140,45836,aide,lud,NOUN,изгородь,,780,B321
377,53332,46938,aidos,lud,NOUN,пастбище,,890,B334
378,58397,51444,aig,lud,ADV,"изрядно, порядочно, довольно",,1346,C1
379,24931,22168,aig,lud,NOUN,время,,1395,C3
380,58396,51443,aiga,lud,ADV,"изрядно, порядочно, довольно",,1346,C1
381,59002,51976,aiga,lud,NOUN,время,,1395,C3
382,73179,62390,aigad mänetan,lud,PHRASE,мешкать,,,
383,77902,66532,aigah,lud,POSTP,во время,,,
384,89921,77010,aigaine,lud,ADJ,ранний,,,
385,89710,76804,aigaizeh,lud,ADV,рано,,,
386,77901,66531,aigal,lud,POSTP,во время,,,
387,77958,66586,aigan,lud,POSTP,во время,,,
388,47293,41375,aigaududa,lud,VERB,"попадать, оказаться, очутиться",,428,B15
389,76652,65418,aigaže,lud,ADV,раненько,,,
390,76657,65418,aigaže,lud,ADV,рановато,,,
391,76684,65446,aigažešči,lud,ADV,спозаранку,,,
392,3566,3536,aige,lud,NOUN,время,,1395,C3
393,59360,3536,aige,lud,NOUN,период,,1419,C3
394,89719,76813,aigembe,lud,ADV,раньше,,,
395,49518,43399,aigoda,lud,VERB,намереваться,,575,B17
396,72601,61877,aigoi,lud,ADV,рано,,,
397,76656,65420,aigoin,lud,ADV,рано,,,
398,73154,62377,aigoites mugoine,lud,PHRASE,"пошава, поветрие (время такое)",,,
399,49519,43400,aigota,lud,VERB,намереваться,,575,B17
400,77975,66601,aiguine,lud,NOUN,взрослый человек,,,
401,15896,14333,aiguuš,lud,ADV,рано,,,
402,72583,61859,aijal,lud,ADV,громко,,,
403,48854,42795,ailahat,lud,NOUN,колики,,530,B16
404,48861,42802,ailhat,lud,NOUN,колики,,530,B16
405,88262,75460,aina,lud,ADV,всегда,,,
406,58351,51398,ainag,lud,ADJ,единственный,,1341,C1
407,78163,66763,aino,lud,ADJ,единственный,,,
