category_id	pos	concept_id	concept_ru	concept_en	definition_ru	definition_en
B12	NOUN	407	бровь	eyebrow	дугообразная полоска волос над глазной впадиной; эта часть лица	the hair that grows over the bone ridge above the eye socket
B12	NOUN	408	веко	eyelid	подвижная кожная складка вокруг глаза у человека и позвоночных животных	a thin skin membrane that covers and moves over an eye
B12	VERB	409	видеть	to see	обладать зрением, зрительной способностью	to perceive or detect someone or something with the eyes, or as if by sight
B12	VERB	410	смотреть			
B12	ADJ	411	слепой			
B12	NOUN	412	ухо			
B12	VERB	413	слышать			
B12	ADJ	414	глухой	deaf	лишённый слуха, не способный слышать 	unable to hear, or only partially able to hear
B12	NOUN	415	нос	nose		
B12	NOUN	416	ноздря			
B12	NOUN	417	сопли	snot		
B12	VERB	418	нюхать			
B12	VERB	419	пахнуть			
B12	NOUN	420	дерьмо	crap	испражнения	an act of defecation
B12	NOUN	421	нерв	nerve		
B15	VERB	422	терять			
B15	VERB	423	искать	to search		
B15	VERB	424	найти			
B15	VERB	425	поймать			
B15	VERB	426	догонять	to catch up	настигать кого-либо или что-либо, оказываться рядом с кем-либо или с чем-либо, движущимся впереди	to overtake someone or something, to be close to someone or something moving in front
B15	VERB	427	охранять, сторожить			
B15	VERB	428	попадать, оказаться, очутиться			
B15	VERB	429	прятать			
B15	VERB	430	совать			
B15	VERB	431	просовывать, вдевать			
B15	VERB	432	заталкивать, запихивать (во что-либо)			
B15	VERB	433	держать	to hold	взять что-либо в руки, в рот, в лапы, в зубы и т. п., ухватившись за что-либо, не выпускать, иметь в руках, в зубах и т. п.	to grasp or grip
B15	VERB	434	отбирать, отнимать	to take away		
B15	VERB	435	бросать, кидать	to throw	резким движением, взмахом руки заставлять перемещаться по воздуху, кидать, заставлять лететь и падать куда-либо	to hurl; to release (an object) with some force from one's hands, an apparatus, etc. so that it moves rapidly through the air
B15	VERB	436	класть			
B15	VERB	437	укладывать, складывать в определенном порядке			
B15	VERB	438	переламывать	to break to pieces		
B15	VERB	439	ломать, разбивать			
B15	VERB	440	ломать, разбирать (печь, дом)			
B15	VERB	441	давить, придавливать	to press	нажимать на что-то (или кого-то) с силой 	to exert weight or force against, to act upon with force or weight; to exert pressure upon
B15	VERB	442	махать, взмахивать, размахивать			
B15	VERB	443	махать, указывать, показывать	to wave, to point, to show		
B15	VERB	444	оставлять	to leave		
B15	VERB	445	схватить			
B15	VERB	446	толкать			
B15	VERB	447	поднять	to raise, to elevate, to lift up		
B15	VERB	448	летать			
B15	VERB	449	вешать	to hang up	помещать на весу, то есть без опоры снизу	to put up to hang
B15	VERB	450	ложиться	to lie down		
B15	VERB	451	лежать	lie		
B15	VERB	452	проснуться			
B15	VERB	453	стоять			
B15	VERB	454	наступать (ногой)			
B15	VERB	455	пинать			
B15	VERB	456	скакать, прыгать			
B15	VERB	457	сидеть	to sit		
B15	VERB	458	бежать	to be running	быстро перемещаться на ногах или лапах, периодически полностью отрываясь от опоры (о движении, совершаемом однократно или в определённом направлении)	to move forward quickly upon two feet by alternately making a short jump off either foot
B15	VERB	459	ползать			
B15	VERB	460	падать			
B15	VERB	461	выпадать	to fall out	падать сверху вниз	to come out of something by falling
B15	VERB	462	брать	to take	хватать, захватывать кого-либо или что-либо; поднимать с пола или снимать со стены, с полки и т. п.	to get into one's hands, possession or control, with or without force
B15	VERB	463	давать	to give	перемещать что-либо в распоряжение другого субъекта	to move, shift, provide something abstract or concrete to someone or something or somewhere
B15	VERB	464	добавлять	to add	давать, класть, наливать, насыпа́ть и т. п. к уже имеющемуся; пополнять недостающее	to join or unite (e.g. one thing to another, or as several particulars) so as to increase the number, augment the quantity or enlarge the magnitude, or so as to form into one aggregate
B15	VERB	465	начинать			
B15	VERB	466	кончать			
B15	VERB	467	портить	to spoil, to ruin, to mar, to damage		
B15	VERB	468	рубить			
B15	VERB	469	ударять			
B15	VERB	470	выбирать	to choose	рассматривать множество имеющихся вариантов, определяя нужные или желательные и отвергая ненужные или нежелательные	to pick; to make the choice of; to select
B15	VERB	471	делить	to divide	разъединять что-либо, делать из целого части	to split or separate (something) into two or more parts
B15	VERB	472	лить	to pour, to spill		
B15	VERB	473	липнуть, прилипать			
B15	VERB	474	опрокидывать			
B15	VERB	475	обрывать (листья)			
B15	VERB	476	рвать			
B15	VERB	477	мешать, размешивать			
B15	VERB	478	мешать (быть помехой)			
B15	VERB	479	показывать			
B15	VERB	480	сжимать, сдавливать, стискивать			
B15	VERB	481	собирать	to gather, to collect		
B15	VERB	482	посылать	to send		
B15	VERB	483	пускать			
B15	VERB	484	доставать, приобретать	to acquire	получать что-либо в своё распоряжение, владение, собственность, становиться обладателем кого-либо, чего-либо, обзаводиться кем-либо, чем-либо	to gain, usually by one's own exertions; to get as one's own
B15	VERB	485	трогать, прикасаться			
B15	VERB	486	возвратиться	to come back	прибыть, прийти, приехать, прилететь назад, обратно; вернуться на то же место	to return to a place
B15	VERB	487	опаздывать	to be late		
